Date;file;Day;Month;Year;Hour;Minute;Second;ACI;ADI;AEI;BI;NDSI;ratioBA;antroPh;bioPh;Ht;M;AR;ROItotal;ROIcover
2022-06-11 00:40:00;Basamba\SWIFT20_20220611_004000.wav;11;6;2022;0;40;0;298.62;0.96;0.84;0.65;0.98;98.64;0.05;4.46;0.86;0.03;[1.];12470;8.49
2022-06-11 00:40:00;Basamba\SWIFT 02_20220611_004000.wav;11;6;2022;0;40;0;298.82;1.08;0.87;0.33;0.99;235.01;0.04;8.76;0.88;0.03;[1.];12437;9.13
2022-06-11 00:40:00;Basamba\SWIFT 16_20220611_004000.wav;11;6;2022;0;40;0;294.04;0.31;0.92;0.75;1.0;472.76;0.05;23.27;0.93;0.04;[1.];9858;6.67
2022-06-11 00:40:00;Basamba\SWIFT8_20220611_004000.wav;11;6;2022;0;40;0;297.17;0.16;0.94;0.32;0.99;222.63;0.01;3.04;0.72;0.02;[1.];13857;7.37
2022-06-11 00:40:00;Basamba\SWIFT9_20220611_004000.wav;11;6;2022;0;40;0;300.57;0.34;0.9;0.15;0.96;46.64;0.06;2.75;0.71;0.02;[1.];7448;8.98
2022-06-11 00:40:00;Basamba\SWIFT4_20220611_004000.wav;11;6;2022;0;40;0;290.31;0.81;0.88;0.7;0.99;334.62;0.03;10.79;0.91;0.03;[1.];7193;10.09
2022-06-11 00:40:00;Basamba\SWIFT11_20220611_004000.wav;11;6;2022;0;40;0;300.9;0.66;0.92;0.2;0.78;8.12;0.41;3.32;0.75;0.02;[1.];9002;6.28
2022-06-11 00:40:00;Basamba\SWIFT1_20220611_004000.wav;11;6;2022;0;40;0;296.5;0.03;0.95;0.23;0.98;115.87;0.05;5.86;0.81;0.02;[1.];4708;6.26
2022-06-11 00:40:00;Basamba\SWIFT17_20220611_004000.wav;11;6;2022;0;40;0;296.54;0.29;0.94;0.86;0.95;37.16;0.45;16.62;0.91;0.04;[1.];6334;7.62
2022-06-11 00:40:00;Basamba\SWIFT14_20220611_004000.wav;11;6;2022;0;40;0;303.92;0.42;0.93;0.26;0.93;26.64;0.35;9.28;0.88;0.03;[1.];8358;8.28
2022-06-11 00:40:00;Basamba\SWIFT5_20220611_004000.wav;11;6;2022;0;40;0;298.33;1.33;0.76;0.13;0.93;25.78;0.07;1.68;0.63;0.01;[1.];5279;7.05
2022-06-11 00:40:00;Basamba\SWIFT15_20220611_004000.wav;11;6;2022;0;40;0;295.66;0.02;0.95;0.41;0.99;143.91;0.15;22.02;0.94;0.05;[1.];6579;7.98
2022-06-11 00:40:00;Basamba\SWIFT6_20220611_004000.wav;11;6;2022;0;40;0;292.37;0.1;0.94;0.25;0.96;46.41;0.07;3.37;0.74;0.02;[1.];9693;9.44
2022-06-11 00:40:00;Basamba\SWIFT7_20220611_004000.wav;11;6;2022;0;40;0;296.75;0.86;0.89;0.29;0.93;27.51;0.05;1.5;0.68;0.01;[1.];10327;7.94
2022-06-11 00:40:00;Basamba\SWIFT 19_20220611_004000.wav;11;6;2022;0;40;0;298.51;0.55;0.86;0.19;0.94;29.87;0.05;1.45;0.63;0.01;[1.];7903;7.46
2022-06-11 00:40:00;Basamba\SWIFT10_20220611_004000.wav;11;6;2022;0;40;0;296.09;0.04;0.95;0.29;0.97;78.78;0.03;2.16;0.68;0.01;[1.];9883;8.22
2022-06-11 00:40:00;Basamba\SWIFT13_20220611_004000.wav;11;6;2022;0;40;0;296.27;0.03;0.95;0.41;0.99;352.49;0.04;13.5;0.91;0.04;[1.];6007;5.73
2022-06-11 00:40:00;Basamba\SWIFT 03_20220611_004000.wav;11;6;2022;0;40;0;294.03;0.58;0.89;0.38;0.98;110.77;0.1;10.81;0.9;0.04;[1.];4781;5.1
2022-06-11 02:40:00;Basamba\SWIFT7_20220611_024000.wav;11;6;2022;2;40;0;297.3;0.96;0.88;0.3;0.94;30.04;0.06;1.82;0.69;0.01;[1.];9545;6.25
2022-06-11 02:40:00;Basamba\SWIFT 19_20220611_024000.wav;11;6;2022;2;40;0;302.24;0.11;0.94;0.24;0.92;23.33;0.09;2.0;0.67;0.01;[1.];12877;5.2
2022-06-11 02:40:00;Basamba\SWIFT8_20220611_024000.wav;11;6;2022;2;40;0;297.27;0.73;0.9;0.24;0.98;97.21;0.02;1.72;0.65;0.01;[1.];14937;6.42
2022-06-11 02:40:00;Basamba\SWIFT6_20220611_024000.wav;11;6;2022;2;40;0;296.34;0.52;0.93;0.3;0.91;20.61;0.2;4.08;0.78;0.02;[1.];10629;7.27
2022-06-11 02:40:00;Basamba\SWIFT 03_20220611_024000.wav;11;6;2022;2;40;0;291.09;0.8;0.89;0.69;0.98;82.02;0.33;27.36;0.96;0.06;[1.];4256;5.08
2022-06-11 02:40:00;Basamba\SWIFT1_20220611_024000.wav;11;6;2022;2;40;0;298.42;0.03;0.95;0.23;0.98;83.97;0.06;4.84;0.79;0.02;[1.];6924;7.56
