Date;file;Day;Month;Year;Hour;Minute;Second;ACI;ADI;AEI;BI;NDSI;ratioBA;antroPh;bioPh;Ht;M;AR;ROItotal;ROIcover
2022-06-06 00:40:00;Basamba\SWIFT14_20220606_004000.wav;6;6;2022;0;40;0;305.95;0.64;0.92;0.28;0.64;4.56;1.88;8.59;0.86;0.03;[1.];7932;7.78
2022-06-06 00:40:00;Basamba\SWIFT7_20220606_004000.wav;6;6;2022;0;40;0;298.09;0.4;0.93;0.28;0.83;11.06;0.09;0.97;0.63;0.01;[1.];10217;3.22
2022-06-06 00:40:00;Basamba\SWIFT 19_20220606_004000.wav;6;6;2022;0;40;0;298.52;0.5;0.88;0.18;0.89;16.73;0.1;1.61;0.64;0.01;[1.];6417;5.21
2022-06-06 00:40:00;Basamba\SWIFT10_20220606_004000.wav;6;6;2022;0;40;0;294.79;0.1;0.94;0.22;0.97;63.3;0.02;1.35;0.6;0.01;[1.];9377;5.54
2022-06-06 00:40:00;Basamba\SWIFT20_20220606_004000.wav;6;6;2022;0;40;0;302.36;1.51;0.79;0.48;0.93;29.32;0.04;1.31;0.74;0.02;[1.];13995;9.06
2022-06-06 00:40:00;Basamba\SWIFT 02_20220606_004000.wav;6;6;2022;0;40;0;301.26;0.56;0.92;0.37;0.99;170.22;0.03;5.42;0.81;0.02;[1.];5557;9.7
2022-06-06 00:40:00;Basamba\SWIFT 16_20220606_004000.wav;6;6;2022;0;40;0;292.79;0.02;0.95;0.26;0.99;232.74;0.03;7.78;0.86;0.03;[1.];8609;10.16
2022-06-06 00:40:00;Basamba\SWIFT 03_20220606_004000.wav;6;6;2022;0;40;0;297.72;0.11;0.94;0.18;0.91;21.58;0.13;2.82;0.71;0.02;[1.];4844;9.89
2022-06-06 00:40:00;Basamba\SWIFT13_20220606_004000.wav;6;6;2022;0;40;0;296.88;0.06;0.95;0.31;0.99;225.28;0.03;6.92;0.84;0.03;[1.];5436;3.41
2022-06-06 00:40:00;Basamba\SWIFT4_20220606_004000.wav;6;6;2022;0;40;0;295.61;0.12;0.94;0.57;0.98;91.88;0.09;8.55;0.86;0.03;[1.];6959;7.7
2022-06-06 00:40:00;Basamba\SWIFT11_20220606_004000.wav;6;6;2022;0;40;0;303.97;0.65;0.89;0.17;0.61;4.17;0.67;2.78;0.72;0.02;[1.];9008;5.55
2022-06-06 00:40:00;Basamba\SWIFT17_20220606_004000.wav;6;6;2022;0;40;0;297.32;0.4;0.93;0.91;0.9;18.55;0.8;14.76;0.92;0.04;[1.];7590;6.61
2022-06-06 00:40:00;Basamba\SWIFT8_20220606_004000.wav;6;6;2022;0;40;0;296.49;0.07;0.95;0.31;0.99;198.72;0.01;2.38;0.68;0.01;[1.];10764;5.52
2022-06-06 00:40:00;Basamba\SWIFT5_20220606_004000.wav;6;6;2022;0;40;0;295.75;0.95;0.76;0.12;0.86;12.81;0.1;1.24;0.58;0.01;[1.];4932;6.93
2022-06-06 00:40:00;Basamba\SWIFT12_20220606_004000.wav;6;6;2022;0;40;0;295.69;1.24;0.71;0.13;0.95;39.97;0.02;0.8;0.53;0.01;[1.];8222;4.47
2022-06-06 00:40:00;Basamba\SWIFT15_20220606_004000.wav;6;6;2022;0;40;0;295.78;0.04;0.95;0.3;0.94;31.86;0.35;10.99;0.89;0.03;[1.];7307;7.42
2022-06-06 00:40:00;Basamba\SWIFT9_20220606_004000.wav;6;6;2022;0;40;0;300.08;0.25;0.92;0.15;0.98;91.4;0.03;2.38;0.68;0.02;[1.];8889;6.03
2022-06-06 00:40:00;Basamba\SWIFT1_20220606_004000.wav;6;6;2022;0;40;0;298.23;0.32;0.9;0.15;0.97;66.91;0.04;2.47;0.68;0.02;[1.];10242;6.77
2022-06-06 00:40:00;Basamba\SWIFT6_20220606_004000.wav;6;6;2022;0;40;0;295.38;0.16;0.94;0.22;0.97;73.98;0.05;3.48;0.73;0.02;[1.];10717;6.61
2022-06-06 02:40:00;Basamba\SWIFT 03_20220606_024000.wav;6;6;2022;2;40;0;298.34;0.1;0.94;0.21;0.91;20.28;0.15;3.1;0.72;0.02;[1.];5540;9.8
2022-06-06 02:40:00;Basamba\SWIFT17_20220606_024000.wav;6;6;2022;2;40;0;296.98;0.46;0.93;0.69;0.86;13.36;0.76;10.21;0.88;0.03;[1.];9731;7.95
2022-06-06 02:40:00;Basamba\SWIFT12_20220606_024000.wav;6;6;2022;2;40;0;297.61;1.73;0.57;0.09;0.57;3.65;0.02;0.09;0.37;0.0;[1.];5501;4.14
2022-06-06 02:40:00;Basamba\SWIFT5_20220606_024000.wav;6;6;2022;2;40;0;292.96;1.95;0.53;0.11;0.96;53.34;0.02;1.11;0.57;0.01;[1.];4520;8.55
2022-06-06 02:40:00;Basamba\SWIFT14_20220606_024000.wav;6;6;2022;2;40;0;304.74;0.64;0.92;0.26;0.55;3.46;2.69;9.3;0.88;0.03;[1.];9436;7.97
2022-06-06 02:40:00;Basamba\SWIFT15_20220606_024000.wav;6;6;2022;2;40;0;295.21;0.11;0.95;0.29;0.93;28.0;0.28;7.98;0.86;0.03;[1.];6644;7.7
2022-06-06 02:40:00;Basamba\SWIFT7_20220606_024000.wav;6;6;2022;2;40;0;299.81;0.47;0.92;0.25;0.79;8.32;0.11;0.9;0.62;0.01;[1.];9151;3.3
2022-06-06 02:40:00;Basamba\SWIFT4_20220606_024000.wav;6;6;2022;2;40;0;291.97;0.74;0.91;0.7;0.98;100.71;0.11;10.67;0.88;0.03;[1.];7030;8.47
2022-06-06 02:40:00;Basamba\SWIFT6_20220606_024000.wav;6;6;2022;2;40;0;294.52;0.22;0.92;0.19;0.97;62.06;0.03;1.65;0.63;0.01;[1.];10005;7.79
2022-06-06 02:40:00;Basamba\SWIFT10_20220606_024000.wav;6;6;2022;2;40;0;295.52;0.13;0.94;0.27;0.94;32.53;0.05;1.52;0.61;0.01;[1.];9898;7.16
2022-06-06 02:40:00;Basamba\SWIFT13_20220606_024000.wav;6;6;2022;2;40;0;297.31;0.07;0.95;0.27;0.99;161.42;0.03;5.31;0.81;0.02;[1.];7079;5.63
2022-06-06 02:40:00;Basamba\SWIFT11_20220606_024000.wav;6;6;2022;2;40;0;303.41;0.97;0.84;0.17;0.62;4.3;0.41;1.76;0.64;0.01;[1.];10969;7.14
2022-06-06 02:40:00;Basamba\SWIFT20_20220606_024000.wav;6;6;2022;2;40;0;301.36;0.83;0.9;0.41;0.9;18.52;0.04;0.7;0.68;0.01;[1.];9923;8.1
2022-06-06 02:40:00;Basamba\SWIFT 19_20220606_024000.wav;6;6;2022;2;40;0;299.06;0.18;0.92;0.21;0.92;25.49;0.07;1.7;0.64;0.01;[1.];5849;4.06
2022-06-06 02:40:00;Basamba\SWIFT8_20220606_024000.wav;6;6;2022;2;40;0;296.7;0.11;0.94;0.25;0.98;95.85;0.02;1.67;0.64;0.01;[1.];8978;8.55
2022-06-06 02:40:00;Basamba\SWIFT9_20220606_024000.wav;6;6;2022;2;40;0;301.02;1.2;0.8;0.14;0.61;4.1;0.45;1.85;0.63;0.01;[1.];9215;10.79
