Date;file;Day;Month;Year;Hour;Minute;Second;TFSD_avian;TFSD_human
27/05/2022 00:40;Basamba\SWIFT 02_20220527_004000.wav;27;5;2022;0;40;0;0.51;0.39
27/05/2022 00:40;Basamba\SWIFT13_20220527_004000.wav;27;5;2022;0;40;0;0.4;0.32
27/05/2022 00:40;Basamba\SWIFT14_20220527_004000.wav;27;5;2022;0;40;0;0.5;0.2
27/05/2022 00:40;Basamba\SWIFT7_20220527_004000.wav;27;5;2022;0;40;0;0.34;0.43
27/05/2022 00:40;Basamba\SWIFT9_20220527_004000.wav;27;5;2022;0;40;0;0.39;0.31
27/05/2022 00:40;Basamba\SWIFT11_20220527_004000.wav;27;5;2022;0;40;0;0.37;0.48
27/05/2022 00:40;Basamba\SWIFT15_20220527_004000.wav;27;5;2022;0;40;0;0.62;0.12
27/05/2022 00:40;Basamba\SWIFT12_20220527_004000.wav;27;5;2022;0;40;0;0.33;0.58
27/05/2022 00:40;Basamba\SWIFT17_20220527_004000.wav;27;5;2022;0;40;0;0.66;0.06
27/05/2022 00:40;Basamba\SWIFT5_20220527_004000.wav;27;5;2022;0;40;0;0.5;0.38
27/05/2022 00:40;Basamba\SWIFT 16_20220527_004000.wav;27;5;2022;0;40;0;0.76;0.11
27/05/2022 00:40;Basamba\SWIFT10_20220527_004000.wav;27;5;2022;0;40;0;0.5;0.21
27/05/2022 00:40;Basamba\SWIFT1_20220527_004000.wav;27;5;2022;0;40;0;0.35;0.43
27/05/2022 00:40;Basamba\SWIFT 19_20220527_004000.wav;27;5;2022;0;40;0;0.4;0.32
27/05/2022 00:40;Basamba\SWIFT20_20220527_004000.wav;27;5;2022;0;40;0;0.41;0.51
27/05/2022 00:40;Basamba\SWIFT6_20220527_004000.wav;27;5;2022;0;40;0;0.4;0.45
27/05/2022 00:40;Basamba\SWIFT 03_20220527_004000.wav;27;5;2022;0;40;0;0.49;0.1
27/05/2022 00:40;Basamba\SWIFT4_20220527_004000.wav;27;5;2022;0;40;0;0.77;0.05
27/05/2022 00:40;Basamba\SWIFT8_20220527_004000.wav;27;5;2022;0;40;0;0.53;0.18
27/05/2022 02:40;Basamba\SWIFT4_20220527_024000.wav;27;5;2022;2;40;0;0.75;0.08
27/05/2022 02:40;Basamba\SWIFT15_20220527_024000.wav;27;5;2022;2;40;0;0.39;0.44
27/05/2022 02:40;Basamba\SWIFT6_20220527_024000.wav;27;5;2022;2;40;0;0.34;0.45
27/05/2022 02:40;Basamba\SWIFT11_20220527_024000.wav;27;5;2022;2;40;0;0.31;0.67
27/05/2022 02:40;Basamba\SWIFT5_20220527_024000.wav;27;5;2022;2;40;0;0.08;0.89
27/05/2022 02:40;Basamba\SWIFT 16_20220527_024000.wav;27;5;2022;2;40;0;0.58;0.29
27/05/2022 02:40;Basamba\SWIFT9_20220527_024000.wav;27;5;2022;2;40;0;0.35;0.57
27/05/2022 02:40;Basamba\SWIFT10_20220527_024000.wav;27;5;2022;2;40;0;0.53;0.28
27/05/2022 02:40;Basamba\SWIFT7_20220527_024000.wav;27;5;2022;2;40;0;0.23;0.66
27/05/2022 02:40;Basamba\SWIFT1_20220527_024000.wav;27;5;2022;2;40;0;0.78;0.17
27/05/2022 02:40;Basamba\SWIFT17_20220527_024000.wav;27;5;2022;2;40;0;0.63;0.1
27/05/2022 02:40;Basamba\SWIFT14_20220527_024000.wav;27;5;2022;2;40;0;0.36;0.46
27/05/2022 02:40;Basamba\SWIFT 19_20220527_024000.wav;27;5;2022;2;40;0;0.47;0.3
27/05/2022 02:40;Basamba\SWIFT 02_20220527_024000.wav;27;5;2022;2;40;0;0.63;0.21
27/05/2022 02:40;Basamba\SWIFT 03_20220527_024000.wav;27;5;2022;2;40;0;0.2;0.65
27/05/2022 02:40;Basamba\SWIFT20_20220527_024000.wav;27;5;2022;2;40;0;0.57;0.37
27/05/2022 02:40;Basamba\SWIFT13_20220527_024000.wav;27;5;2022;2;40;0;0.38;0.43
27/05/2022 02:40;Basamba\SWIFT12_20220527_024000.wav;27;5;2022;2;40;0;0.11;0.88
27/05/2022 02:40;Basamba\SWIFT8_20220527_024000.wav;27;5;2022;2;40;0;0.31;0.6
27/05/2022 04:40;Basamba\SWIFT 02_20220527_044000.wav;27;5;2022;4;40;0;0.92;0.08
27/05/2022 04:40;Basamba\SWIFT17_20220527_044000.wav;27;5;2022;4;40;0;0.79;0.16
27/05/2022 04:40;Basamba\SWIFT 03_20220527_044000.wav;27;5;2022;4;40;0;0.09;0.88
